concept,name
huvudman,Huvudman
huvudman_type,Typ av huvudman
municipality,Kommun
school_unit,Skolkod
skolverket_delprov_tcv49,Delprov
skolverket_provnamn_tcv193,Delprovsnamn
skolverket_provnamn_tcv12,Provnamn
skolverket_delprovsnamn_tcv12,Delprovsnamn
skolverket_delprovsnamn,Delprovsnamn
skolverket_inriktning,Inriktning
skolverket_inriktning_tcv70,"Antal elever som började 2011 eller senare, per program och inriktning"
skolverket_program,Program
skolverket_prov,Prov
skolverket_provkod,Provkod
skolverket_provkod_tcv193,Provkod
skolverket_provnamn,Provnamn
skolverket_school_subject,Ämne
skolverket_semester,Termin
skolverket_andel_arbetar_tre_tcv185,Andel ungdomar som arbetar tre år efter gymnasiestudier
skolverket_andel_studerar_tre_tcv185,Andel ungdomar som studerar tre år efter gymnasiestudier
skolverket_andel_arbetar_fem_tcv185,Andel ungdomar som arbetar fem år efter gymnasiestudier
skolverket_andel_studerar_fem_tcv185,Andel ungdomar som studerar fem år efter gymnasiestudier
skolverket_ak1_elever_tcv6,Antal elever årskurs 1
skolverket_ak2_elever_tcv6,Antal elever årskurs 2
skolverket_ak3_elever_tcv6,Antal elever årskurs 3
skolverket_ak4_elever_tcv6,Antal elever årskurs 4
skolverket_ak5_elever_tcv6,Antal elever årskurs 5
skolverket_ak6_elever_tcv6,Antal elever årskurs 6
skolverket_ak7_elever_tcv6,Antal elever årskurs 7
skolverket_ak8_elever_tcv6,Antal elever årskurs 8
skolverket_ak9_elever_tcv6,Antal elever årskurs 9
skolverket_and_ae_fli_tcv49,"Andel (%) med A-E, flickor"
skolverket_and_ae_poj_tcv49,"Andel (%) med A-E, pojkar"
skolverket_and_ae_tot_tcv49,"Andel (%) med A-E, totalt"
skolverket_and_beh_ehs_tcv5,"Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program"
skolverket_and_beh_ehs_exklok_tcv5,"Andel elever behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program, exklusive okänd bakgrund"
skolverket_and_beh_est_tcv5,Andel elever (%) behöriga till estetiskt program
skolverket_and_beh_est_exklok_tcv5,"Andel elever behöriga till estetiskt program, exklusive okänd bakgrund"
skolverket_and_beh_nt_tcv5,Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program
skolverket_and_beh_nt_exklok_tcv5,"Andel elever behöriga till Naturvetenskapligt och tekniskt program, exklusive okänd bakgrund"
skolverket_and_beh_yrk_tcv139,Andel elever behöriga till yrkesprogram
skolverket_and_beh_yrk_tcv5,Andel elever behöriga till yrkesprogram
skolverket_and_beh_yrk_exklok_tcv139,"Andel elever behöriga till yrkesprogram, exklusive okänd bakgrund"
skolverket_and_beh_yrk_exklok_tcv5,"Andel elever behöriga till yrkesprogram, exklusive okänd bakgrund"
skolverket_and_beh_yrk_exklok_fli_tcv140,"Andel elever behöriga till yrkesprogram, flickor, exklusive okänd bakgrund"
skolverket_and_beh_yrk_exklok_poj_tcv140,"Andel elever behöriga till yrkesprogram, pojkar, exklusive okänd bakgrund"
skolverket_and_behorig_eftgy_tcv26,"Andel (%) behöriga till yrkesprogram, föräldrar eftergymnasial utbildning"
skolverket_and_behorig_f_sv_tcv25,"Andel (%) behöriga till yrkesprogram, utländsk bakgrund födda i Sverige"
skolverket_and_behorig_f_utl_tcv25,"Andel (%) behöriga till yrkesprogram, utländsk bakgrund födda utomlands"
skolverket_and_behorig_fli_tcv140,"Andel (%) behöriga till yrkesprogram, flickor"
skolverket_and_behorig_forgy_tcv26,"Andel (%) behöriga till yrkesprogram, föräldrar förgymnasial utbildning"
skolverket_and_behorig_gy_tcv26,"Andel (%) behöriga till yrkesprogram, föräldrar gymnasieutbildning"
skolverket_and_behorig_poj_tcv140,"Andel (%) behöriga till yrkesprogram, pojkar"
skolverket_and_behorig_sv_tcv25,"Andel (%) behöriga till yrkesprogram, svensk bakgrund"
skolverket_and_behorig_tot_tcv140,"Andel (%) behöriga till yrkesprogram, totalt"
skolverket_and_behorig_yrkes_exklok_tcv110,"Andel elever behöriga till yrkesprogram, exklusive okänd bakgrund"
skolverket_and_behorig_yrkes_exl_tcv110,"Andel (%) behöriga till yrkesprogram, exklusive nyinvandrade"
skolverket_and_behorig_yrkes_min4ar_tcv110,"Andel elever behöriga till yrkesprogram, exklusive nyinvandrade och okänd bakgrund"
skolverket_and_behorig_yrkes_min4ar_fli_tcv110,"Andel elever behöriga till yrkesprogram, exklusive nyinvandrade och okänd bakgrund, flickor"
skolverket_and_behorig_yrkes_min4ar_poj_tcv110,"Andel elever behöriga till yrkesprogram, exklusive nyinvandrade och okänd bakgrund, pojkar"
skolverket_and_behorig_yrkes_nyinv_tcv110,"Andel (%) behöriga till yrkesprogram, nyinvandrade"
skolverket_and_behorig_yrkes_samtl_tcv110,Andel elever behöriga till yrkesprogram
skolverket_and_behoriga_tcv101,"Andel lärare med lärarlegitimation och behörighet i minst ett ämne, alla tjänstgörande lärare"
skolverket_and_behoriga_tcv102,Andel lärare med lärarlegitimation och behörighet i ämnet
skolverket_and_behoriga_tcv105,Andel lärare med lärarlegitimation och behörighet i minst ett ämne
skolverket_and_behoriga_tcv106,Andel lärare med lärarlegitimation och behörighet i ämnet
skolverket_and_behoriga_tcv263,Andel lärare med lärarlegitimation och behörighet i ämnet
skolverket_and_delt_fli_tcv49,Andel deltagande flickor
skolverket_and_delt_poj_tcv49,Andel deltagande flickor
skolverket_and_delt_tot_tcv49,Andel deltagande totalt
skolverket_and_ej_beh_tcv5,Andel elever (%) ej behöriga
skolverket_and_ej_beh_exklok_tcv5,Andel elever ej behöriga exklusive okänd bakgrund
skolverket_and_helttj_larare_leg_tcv101,"Andel med lärarlegitimation och behörighet i minst ett ämne, heltidstjänster"
skolverket_and_helttj_larare_leg_tcv102,"Andel med lärarlegitimation och behörighet i ämnet, heltidstjänster"
skolverket_and_helttj_larare_leg_tcv105,"Andel med lärarlegitimation och behörighet i minst ett ämne, heltidstjänster"
skolverket_and_helttj_larare_leg_tcv106,"Andel med lärarlegitimation och behörighet i ämnet, heltidstjänster"
skolverket_and_helttj_larare_leg_tcv263,"Andel med lärarlegitimation och behörighet i ämnet, heltidstjänster"
skolverket_and_larare_pedex_tcv101,"Andel lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_and_larare_pedex_tcv102,"Andel lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_and_larare_pedex_tcv105,"Andel lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_and_larare_pedex_tcv106,"Andel lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_and_larare_pedex_tcv263,"Andel lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_and_uppn_alla_amnen_eftgy_tcv26,"Andel som uppnått kunskapskraven i alla ämnen, föräldrar eftergymnasial utbildning"
skolverket_and_uppn_alla_amnen_exklok_tcv110,"Andel som uppnått kunskapskraven i alla ämnen, exklusive okänd bakgrund"
skolverket_and_uppn_alla_amnen_exklok_fli_tcv140,"Andel som uppnått kunskapskraven i alla ämnen, flickor, exklusive okänd bakgrund"
skolverket_and_uppn_alla_amnen_exklok_poj_tcv140,"Andel som uppnått kunskapskraven i alla ämnen, pojkar, exklusive okänd bakgrund"
skolverket_and_uppn_alla_amnen_exl_tcv110,"Andel som uppnått kunskapskraven i alla ämnen, exklusive nyinvandrade"
skolverket_and_uppn_alla_amnen_f_sv_tcv25,"Andel som uppnått kunskapskraven i alla ämnen, utländsk bakgrund födda i Sverige"
skolverket_and_uppn_alla_amnen_f_utl_tcv25,"Andel som uppnått kunskapskraven i alla ämnen, utländsk bakgrund födda utomlands"
skolverket_and_uppn_alla_amnen_fli_tcv140,"Andel som uppnått kunskapskraven i alla ämnen, flickor"
skolverket_and_uppn_alla_amnen_forgy_tcv26,"Andel som uppnått kunskapskraven i alla ämnen, föräldrar förgymnasial utbildning"
skolverket_and_uppn_alla_amnen_gy_tcv26,"Andel som uppnått kunskapskraven i alla ämnen, föräldrar gymnasieutbildning"
skolverket_and_uppn_alla_amnen_min4ar_tcv110,"Andel elever som uppnått kunskapskraven i alla ämnen, exklusive nyinvandrade och okänd bakgrund"
skolverket_and_uppn_alla_amnen_min4ar_fli_tcv110,"Andel elever som uppnått kunskapskraven i alla ämnen, exklusive nyinvandrade och okänd bakgrund, flickor"
skolverket_and_uppn_alla_amnen_min4ar_poj_tcv110,"Andel elever som uppnått kunskapskraven i alla ämnen, exklusive nyinvandrade och okänd bakgrund, pojkar"
skolverket_and_uppn_alla_amnen_nyinv_tcv110,"Andel som uppnått kunskapskraven i alla ämnen, nyinvandrade"
skolverket_and_uppn_alla_amnen_poj_tcv140,"Andel som uppnått kunskapskraven i alla ämnen, pojkar"
skolverket_and_uppn_alla_amnen_samtl_tcv110,"Andel elever som uppnått kunskapskraven i alla ämnen, exklusive nyinvandrade och okänd bakgrund, totalt"
skolverket_and_uppn_alla_amnen_sv_tcv25,"Andel som uppnått kunskapskraven i alla ämnen, svensk bakgrund"
skolverket_and_uppn_alla_amnen_tot_tcv140,"Andel som uppnått kunskapskraven i alla ämnen, totalt"
skolverket_and_utl_bakgr_tcv95,Andel nyinvandrade
skolverket_andel_a_tcv65,Andel elever med kursprovsbetyg A
skolverket_andel_ae_fli_tcv93,"Andel (%) med A-E, flickor"
skolverket_andel_ae_poj_tcv93,"Andel (%) med A-E, pojkar"
skolverket_andel_ae_tot_tcv93,"Andel (%) med A-E, totalt"
skolverket_andel_arbetar_ett_tcv185,Andel ungdomar som arbetar ett år efter gymnasiestudier
skolverket_andel_arbetar_ett_tcv97,Andel ungdomar som arbetar ett år efter gymnasiestudier
skolverket_andel_arbetar_tre_tcv97,Andel ungdomar som arbetar tre år efter gymnasiestudier
skolverket_andel_b_tcv65,Andel elever med kursprovsbetyg B
skolverket_andel_behoriga_hs_tcv54,Andel behöriga till högskolestudier
skolverket_andel_c_tcv65,Andel elever med kursprovsbetyg C
skolverket_andel_d_tcv65,Andel elever med kursprovsbetyg D
skolverket_andel_e_tcv65,Andel elever med kursprovsbetyg E
skolverket_andel_eftgy_tcv26,"Andel elever, föräldrar eftergymnasial utbildning"
skolverket_andel_ej_uppnatt_ett_tcv143,Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i ett ämne
skolverket_andel_ej_uppnatt_ett_exkl_tcv145,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i ett ämne, exklusive nyinvandrade och okänd bakgrund"
skolverket_andel_ej_uppnatt_ett_fli_tcv144,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i ett ämne, flickor"
skolverket_andel_ej_uppnatt_ett_poj_tcv144,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i ett ämne, pojkar"
skolverket_andel_ej_uppnatt_ett_tot_tcv145,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i ett ämne, totalt"
skolverket_andel_ej_uppnatt_min_tva_exkl_tcv145,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i minst två ämnen, exklusive nyinvandrade och okänd bakgrund"
skolverket_andel_ej_uppnatt_min_tva_tot_tcv145,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i minst två ämnen, totalt"
skolverket_andel_ej_uppnatt_minst_tva_tcv143,Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i minst två ämnen
skolverket_andel_ej_uppnatt_minst_tva_fli_tcv144,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i minst två ämnen, flickor"
skolverket_andel_ej_uppnatt_minst_tva_poj_tcv144,"Andel elever i årskurs 6 som ej uppnått kunskapskraven (A-E) i minst två ämnen, pojkar"
skolverket_andel_elever_exl_tcv110,Andel elever exklusive nyinvandrade
skolverket_andel_elever_min4ar_tcv110,"Andel elever årskurs 9, exklusive nyinvandrade och okänd bakgrund"
skolverket_andel_elever_min4ar_fli_tcv110,"Andel elever årskurs 9, exklusive nyinvandrade och okänd bakgrund, flickor"
skolverket_andel_elever_min4ar_poj_tcv110,"Andel elever årskurs 9, exklusive nyinvandrade och okänd bakgrund, pojkar"
skolverket_andel_elever_nyinv_tcv110,Andel elever nyinvandrade
skolverket_andel_examen_inom_3_tcv90,Andel som slutfört med examen inom 3 år
skolverket_andel_examen_inom_4_tcv90,Andel som slutfört med examen inom 4 år
skolverket_andel_examen_inom_5_tcv90,Andel som slutfört med examen inom 5 år
skolverket_andel_f_tcv65,Andel elever med kursprovsbetyg F
skolverket_andel_f_sv_tcv25,Andel utländsk bakgrund födda i Sverige
skolverket_andel_f_utl_tcv25,Andel utländsk bakgrund födda utomlands
skolverket_andel_fli_tcv140,Andel flickor
skolverket_andel_forald_eftergymn_utb_tcv136,Andel med föräldrar med eftergymnasial utbildning
skolverket_andel_forald_eftergymn_utb_tcv21,Andel med föräldrar med eftergymnasial utbildning
skolverket_andel_forald_eftergymn_utb_tcv70,Andel med föräldrar med eftergymnasial utbildning
skolverket_andel_forgy_tcv26,"Andel elever, föräldrar förgymnasial utbildning"
skolverket_andel_gy_tcv26,"Andel elever, föräldrar gymnasieutbildning"
skolverket_andel_hojt_tcv55,Andel elever med högre kursbetyg än provbetyg i ämnet
skolverket_andel_hojt_kvi_tcv55,"Andel elever med högre kursbetyg än provbetyg i ämnet, kvinnor"
skolverket_andel_hojt_man_tcv55,"Andel elever med högre kursbetyg än provbetyg i ämnet, män"
skolverket_andel_kvi_tcv136,Andel kvinnor
skolverket_andel_kvi_tcv21,Andel kvinnor
skolverket_andel_kvi_tcv70,Andel kvinnor
skolverket_andel_lika_tcv55,Andel elever med lika kursbetyg som provbetyg i ämnet
skolverket_andel_lika_kvi_tcv55,"Andel elever med lika kursbetyg som provbetyg i ämnet, kvinnor"
skolverket_andel_lika_man_tcv55,"Andel elever med lika kursbetyg som provbetyg i ämnet, män"
skolverket_andel_med_examen_tcv88,Andel avgångselever med examen
skolverket_andel_med_gr_behorighet_tcv88,Andel avgångselever med grundläggande behörighet
skolverket_andel_med_studiebevis_tcv88,Andel avgångselever med studiebevis
skolverket_andel_med_utokat_prog_tcv88,Andel avgångselever med utökat program
skolverket_andel_minst_e_eng5_tcv88,Andel avgångselever med minst betyget E i Engelska 5
skolverket_andel_minst_e_gyarb_tcv88,Andel avgångselever med minst betyget E i gymnasiearbete
skolverket_andel_minst_e_hist1_tcv88,Andel avgångselever med minst betyget E i Historia 1
skolverket_andel_minst_e_idr1_tcv88,Andel avgångselever med minst betyget E i Idrott 1
skolverket_andel_minst_e_ma1_tcv88,Andel avgångselever med minst betyget E i Matematik 1
skolverket_andel_minst_e_na1_tcv88,Andel avgångselever med minst betyget E i Naturkunskap 1
skolverket_andel_minst_e_re1_tcv88,Andel avgångselever med minst betyget E i Religion 1
skolverket_andel_minst_e_sam1_tcv88,Andel avgångselever med minst betyget E i Samhällskunskap 1
skolverket_andel_minst_e_sv1_tcv88,Andel avgångselever med minst betyget E i Svenska 1
skolverket_andel_minst_e_sva1_tcv88,Andel avgångselever med minst betyget E i Svenska som andraspråk 1
skolverket_andel_natt_malen_alla_amnen_tcv139,Andel som uppnått kunskapskraven i alla ämnen
skolverket_andel_natt_malen_alla_exklok_tcv139,Andel som uppnått kunskapskraven i alla ämnen exklusive okänd bakgrund
skolverket_andel_poj_tcv140,Andel pojkar
skolverket_andel_pojkar_tcv95,Andel (%) pojkar
skolverket_andel_samma_prog_inom_3_tcv90,Andel elever som startat och slutfört utbildningen inom samma program inom 3 år
skolverket_andel_samma_prog_inom_4_tcv90,Andel elever som startat och slutfört utbildningen inom samma program inom 4 år
skolverket_andel_samma_prog_inom_5_tcv90,Andel elever som startat och slutfört utbildningen inom samma program inom 5 år
skolverket_andel_sankt_tcv55,Andel elever med lägre kursbetyg än provbetyg i ämnet
skolverket_andel_sankt_kvi_tcv55,"Andel elever med lägre kursbetyg än provbetyg i ämnet, kvinnor"
skolverket_andel_sankt_man_tcv55,"Andel elever med lägre kursbetyg än provbetyg i ämnet, män"
skolverket_andel_studerar_ett_tcv185,Andel ungdomar som studerar ett år efter gymnasiestudier
skolverket_andel_studerar_ett_tcv97,Andel ungdomar som studerar ett år efter gymnasiestudier
skolverket_andel_studerar_tre_tcv97,Andel ungdomar som studerar tre år efter gymnasiestudier
skolverket_andel_studiebevis_inom_3_tcv90,Andel elever som slutfört utbildningen med studiebevis om 2500 poäng inom 3 år
skolverket_andel_studiebevis_inom_4_tcv90,Andel elever som slutfört utbildningen med studiebevis om 2500 poäng inom 4 år
skolverket_andel_studiebevis_inom_5_tcv90,Andel elever som slutfört utbildningen med studiebevis om 2500 poäng inom 5 år
skolverket_andel_sv_tcv25,Andel svensk bakgrund
skolverket_andel_uppnatt_alla_tcv143,Andel elever i årskurs 6 som uppnått kunskapskraven (A-E) i alla ämnen
skolverket_andel_uppnatt_alla_exkl_tcv145,"Andel elever i årskurs 6 som uppnått kunskapskraven (A-E) i alla ämnen, exklusive nyinvandrade och okänd bakgrund"
skolverket_andel_uppnatt_alla_fli_tcv144,"Andel elever i årskurs 6 som uppnått kunskapskraven (A-E) i alla ämnen, flickor"
skolverket_andel_uppnatt_alla_poj_tcv144,"Andel elever i årskurs 6 som uppnått kunskapskraven (A-E) i alla ämnen, pojkar"
skolverket_andel_uppnatt_alla_tot_tcv145,"Andel elever i årskurs 6 som uppnått kunskapskraven (A-E) i alla ämnen, totalt"
skolverket_andel_utl_tcv136,Andel elever med utländsk bakgrund
skolverket_andel_utl_tcv21,Andel elever med utländsk bakgrund
skolverket_andel_utl_tcv70,Andel elever med utländsk bakgrund
skolverket_ant_af_fli_tcv49,Antal flickor med provbetyget A-F
skolverket_ant_af_poj_tcv49,Antal pojkar med provbetyget A-F
skolverket_ant_af_tot_tcv49,Antal elever med provbetyget A-F
skolverket_ant_amnen_medel_tcv143,Genomsnittligt antal ämnesbetyg
skolverket_ant_amnen_medel_exkl_tcv145,Genomsnittligt antal ämnesbetyg exklusive nyinvandrade
skolverket_ant_amnen_medel_fli_tcv144,"Genomsnittligt antal ämnesbetyg, flickor"
skolverket_ant_amnen_medel_poj_tcv144,"Genomsnittligt antal ämnesbetyg, pojkar"
skolverket_ant_amnen_medel_tot_tcv145,"Genomsnittligt antal ämnesbetyg, totalt"
skolverket_ant_behoriga_tcv101,"Antal lärare med lärarlegitimation och behörighet i minst ett ämne, alla tjänstgörande lärare"
skolverket_ant_behoriga_tcv102,Antal lärare med lärarlegitimation och behörighet i ämnet
skolverket_ant_behoriga_tcv105,Antal lärare med lärarlegitimation och behörighet i minst ett ämne
skolverket_ant_behoriga_tcv106,Antal lärare med lärarlegitimation och behörighet i ämnet
skolverket_ant_behoriga_tcv263,Antal lärare med lärarlegitimation och behörighet i ämnet
skolverket_ant_forstelarare_tcv101,Antal tjänstgörande förstelärare
skolverket_ant_forstelarare_tcv105,Antal tjänstgörande förstelärare
skolverket_ant_larare_tcv101,Totalt antal tjänstgörande lärare
skolverket_ant_larare_tcv102,Totalt antal tjänstgörande lärare i ämnet
skolverket_ant_larare_tcv105,Totalt antal tjänstgörande lärare
skolverket_ant_larare_tcv106,Totalt antal tjänstgörande lärare i ämnet
skolverket_ant_larare_tcv263,Totalt antal tjänstgörande lärare i ämnet
skolverket_ant_larare_pedex_tcv101,"Antal lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_ant_larare_pedex_tcv102,"Antal lärare med pedagogisk högskoleexamen i ämnet, alla tjänstgörande lärare"
skolverket_ant_larare_pedex_tcv105,"Antal lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_ant_larare_pedex_tcv106,"Antal lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_ant_larare_pedex_tcv263,"Antal lärare med pedagogisk högskoleexamen, alla tjänstgörande lärare"
skolverket_ant_slutat_tcv185,Antal ungdomar som avslutade studierna detta år
skolverket_ant_slutat_tcv97,Antal ungdomar som avslutade studierna detta år
skolverket_antal_eftgy_tcv26,"Antal elever, föräldrar eftergymnasial utbildning"
skolverket_antal_elever_tcv139,Antal elever
skolverket_antal_elever_tcv5,Antal elever
skolverket_antal_elever_tcv55,Totalt antal elever
skolverket_antal_elever_tcv65,Totalt antal elever
skolverket_antal_elever_tcv88,Totalt antal elever
skolverket_antal_elever_exklok_tcv110,"Antal elever, exklusive okänd bakgrund"
skolverket_antal_elever_exl_tcv110,Antal elever exklusive nyinvandrade
skolverket_antal_elever_min4ar_tcv110,"Antal elever årskurs 9, exklusive nyinvandrade och okänd bakgrund"
skolverket_antal_elever_min4ar_fli_tcv110,"Antal elever årskurs 9, exklusive nyinvandrade och okänd bakgrund, flickor"
skolverket_antal_elever_min4ar_poj_tcv110,"Antal elever årskurs 9, exklusive nyinvandrade och okänd bakgrund, pojkar"
skolverket_antal_elever_nyinv_tcv110,Antal elever nyinvandrade
skolverket_antal_elever_samtl_tcv110,"Antal elever, totalt"
skolverket_antal_f_sv_tcv25,Antal utländsk bakgrund födda i Sverige
skolverket_antal_f_utl_tcv25,Antal utländsk bakgrund födda utomlands
skolverket_antal_fli_tcv140,Antal flickor årskurs 9
skolverket_antal_fli_tcv93,Antal flickor årskurs 9
skolverket_antal_forgy_tcv26,"Antal elever, föräldrar förgymnasial utbildning"
skolverket_antal_gy_tcv26,"Antal elever, föräldrar gymnasieutbildning"
skolverket_antal_kvi_tcv55,Antal kvinnor
skolverket_antal_m_betyg_tcv143,Antal elever årskurs 6
skolverket_antal_m_betyg_exkl_tcv145,"Antal elever årskurs 6, exklusive nyinvandrade och okänd bakgrund"
skolverket_antal_m_betyg_fli_tcv144,"Antal elever årskurs 6, flickor"
