content,label
“Worry is a down payment on a problem you may never have'.  Joyce Meyer. #motivation #leadership ,fear
"“Set a goal to achieve something that is so big, so exhilarating that it excites you and scares you at the same time.” \n― Bob Proctor",joy
"I'll find Myself smiling and even laughing at jokes that I don't even think are particularly funny, and I know it's because YOU love them!",joy
"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",sadness
You can make excuses or you can make time. You can't make both. #time #regret #anxiety #LifeCoach,fear
Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger
This is not me brown nosing but I've listened to lots of housing ministers but @GavinBarwellMP #nhf16 impressed me more than any #optimism,joy
The #Texans should never play a prime time game again...this is  #TNF,fear
@KseniaSolo hi little late to lost girl but think you awesome from South Afrikaans:-),sadness
"@DayveeSutton BIG thank you for liking my little Pumpkin  :)  She's the smallest of my 4, but is very playful &amp; wakes me up most mornings.",joy
@noris_prosk8r2 (Maybe don't provoke him in the future if you do not want to run the risk of him punching your board.),anger
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside.  #anxiety #anxietyprobz",sadness
@peterdaou What? Hillary has 27 different controversies and she gets asked NOTHING about any of them. Truth is she's a horrible candidate,fear
@fixindk @RevoltRazor @dragons1015 Guys don't use that type of language. Save it for raging...,anger
"So looks like @united would rather lose all my business, than let me apply my credits towards my change fee, due to terrorism",fear
"When it comes to Syria, I get very fucking annoyed at pessimism, like I get full on triggered. Optimism or gtfo.",sadness
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them ,joy
I am worried that she felt safe. #unhappy,sadness
What a grim night #GetTheFireLit 🔥,sadness
my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl,anger
"Dropped my phone in the sink earlier.No sound, but everythin else works.Prepared myself for life without music until I put my earphones in",sadness
"@ExaltedChampion - the jest, Kara didn't chuckle, instead her baby blues were narrowed in on Adam like a warning. If his brain /wasn't/ -",sadness
@kimdelacreme_ @Srgohdatzme305  I'm there... let me know ,sadness
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,joy
ramos does what he does best burning haters with his head,anger
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger
I love my family so much #lucky #grateful #smartassfamily  #love,joy
@britishairways term 5 security queues at arrivals #shocking,fear
"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",anger
at least 5 ppl have left my stores in a huff in the past year but ive never had anyone call guest service on me yet so,anger
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear
Have the producers of @soverybritish ever been outside of their country? These are universal problems. #worldwide ,fear
Please stop your merriment. It is very annoying,joy
"@ShannonBeador we know the truth about her, the public is figuring it out. Her words mean nothing. #unhappy #mean #troubled #vile ",fear
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot",joy
I'm ready for October. Cooler weather and more #horror flicks on TV.,fear
"@DatelineNBC this is a sight, sound &amp; smell to behold in person--still gives me the creeps to think about. #shudder",fear
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear
This weather making me dread work tonight,fear
@destaneex @ProSyndicate @EGX oh don't panic he's gonna be there,fear
This meth documentary is exhilarating,joy
"@spencer0415 awe, I love you kid!!",fear
Should've stayed at school cause ain't nobody here,sadness
second episode of AHS 6 here i go ,fear
Boys Dm me pictures of your cocks! The best one will get uploaded! ☺️💦💦 #Cumtribute #dm  #snapchat #snapme #nudes #dickpic #cocktribute,anger
"I think our defense here at USC is playing well, we just need to fix a few things on offense and we can win the PAC 12 this year'",anger
#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger
"@tariqmateen but sadly he missed some crucial and important points. Indian terrorism in pk,  kal Boshan,  etc..  Raw involvement",fear
@CornerBakery Sorry I missed you :) I stayed up late working and pondering life,sadness
@virginmedia shocking service for your call centre staff this evening. Transfer me and cut me off after waiting forever to speak to someone.,fear
@JustinTrudeau opened doors to terrorism and he will pay for it. @CP24 @globalnewsto,fear
Like he really just fucking asked me that. #offended,anger
It would appear it's a good year for the #blues,sadness
You know you exercised good when your limbs are shaking afterwards 😂,fear
Thank you @Pret 4 giving me a free coffee for bringing my reusable cup to the airport because it was 1st time you saw one. But #depressing,sadness
revenge,anger
A nation with a large part of the population living in #fear  of the police is neither #great nor #free  - it's actually a #fascist  nation,fear
Boys of Fall makes me miss cheering on Friday nights much sooooo bad #bulldogslways🐾,joy
"I feel really nervous, or anxious. Idk. My leg keeps shaking. Hmm",fear
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited ,fear
HartRamsey'sUPLIFT If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source.Look to the LORD!,sadness
Watch this amazing live.ly broadcast by @kelli.peterson #lively #musically.   Come WATCH,joy
"Half past midnight, loud banging on our front door, been told about new rape cases in Edinburgh today #joyful #nosleep",joy
Ghanaians don't need to wear black to mourn tho... They can just walk naked *dodges stones* Na joke na☹',sadness
@RyanAbe awe yay thank god I was so worried.,fear
The majority of my clients have family/ partner/ day job/ life AND write their beautiful books. #awe #gratitude #HARDwork,fear
will brawndo cure my depression? @MikeJudge #Idiocracytoday,sadness
Good morning! Welcome the new day into your life and your heart #mindfulness #smile #zen,joy
Threat factors in respect to provocation bulb worm: BnQo,anger
The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment,anger
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness
@7we4k LordDerply for it. It's like yugioh for animated shows!,joy
@Author_LB Awesome. My 9 yr old grandson runs cross country. No Simon Whitfield but still a lot of fun cheering him on.,joy
when season 13 of greys anatomy premieres today. it you're only on season 7 #sadness :(,sadness
Chick told me I look like Childish Gambino. #insult or #compliment,anger
"The best part of this day, Jesus, is to snuggle up in your embrace...to rest in your arms and know you love me...💙❤ #sweetEmbrace #delight",joy
and claimed that all of the same things could scare us\nbut we were tough because of ancestry,fear
@Supergold2002 Terence- got a lot of anger issues from my family and school.,anger
@_Mrs_Peel @lp_lisa @PaulRGoulden @LisaLuscious Might be the pout of a star baker tho !,anger
@ETimsNet I wanted him dropped a while ago. Its a concern for us no doubt,fear
"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger
Sanatana Lopez is definitely me 😂 #glee,joy
We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger
Headed to MDW w/ layover in SLC. Got off for food. Wrong move. Bailed on my food &amp; barely made it. @SouthwestAir #WannaGetAway #Contest ,sadness
A hearty thank you to you all for joining in tonight. Some delicious British dishes on your menus. #BeerClub,joy
@andreasarahco do you actually heely on campus bc this should scare you,fear
"#Quote 'To say that You know Yourself without ever having been #lost to find Yourself, Is like saying You know everything' ~@Caligraphy215",sadness
like srsly somebody help me deal with this social anxiety,fear
Hate when guys cant control their anger 🙃🙃,anger
#PeopleLikeMeBecause of some unknown reason but I try to discourage it,fear
@Hannahcolleen06 I have 12 &amp; that's the only one I didn't like 😂 mine comes out patchy. It's the only dark color by her I have tho.,sadness
#picoftheday : How...why... Really... !!\n #funny #picoftheday #lol #random #laugh #chair #of  #funnypics #virgin #cafe #i...,fear
It's about time I start taking my own advice,fear
Your #smile is a messenger of your good will.,joy
@mywrldsbl I can be your wolf if you want. Hihi~ ,joy
I'm so bored and fat and full and ridiculously overweight and rolls galore #terrible,fear
#Afghanistan Vice President Sarwar Danish slams #Pakistan for breeding #terrorism during UNGA address\n@UN #USA,fear
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,anger
Everton not playing and fume on here have day off,anger
"Never fear the want of business. A man who qualifies himself well for his calling, never fails of employment.",fear
"Shame on you @SkyNews showing an elephant being hunted and killed, #shocking",fear
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people?  #recluse #issues",fear
@Beakmoo hmmmm...you may have a point... I thought Twitter had got dull 😂. LAMINATION,sadness
I hate freaking out and ruining things. #anxiety,fear
@iAmSJ I'm so mad for our clients I'm furious lmao,anger
"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger
@SizweM01 and it's kinda depressing hey!!! 😑,sadness
It's all about #redwine and #glee,joy
And they cover these police shootings fairly well they dont want to miss a chance to bully you,fear
"@PrinceJumbo You're welcome and thank to you likewise! What are you hoping to learn, like your no 1 concern?",fear
"#AutumnalEquinox the nights are drawing in, what a great time to look at putting up some new #lights #dark #showroom #news #wirral",sadness
When @idinamenzel says she's releasing more #IdinaParty tickets and you set an alarm to not miss it... #fingerscrossed #Idina.,fear
@T_newhouse13 as granny would say I don't know how to chirp,joy
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness
"Ready for that nice, breezy, calm, sunshine weather.🍂🍁 #Autumn",joy
@Naya_Eclissu + me!'\n\nAnd that's when she suddenly became quiet as her lips started to tremble \n\n'...........Naya'\n\n'I don't want to +,fear
Accept the challenges so that you can feel the exhilaration of victory. \n\n#MBMcLisse,joy
@littlepieces Customer services got involved and eventually completely wash their hands of it.  #dreamornightmare,fear
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear
It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.',sadness
My bf drove out of his way after a long day just to spend 15 min holding me to make me feel better. How'd I get so lucky #lucky #happy,joy
"God, I've been so physically weak the whole day. So much shaking :(",fear
@All4 is the android app it designed to be buggy and work sporadically on a fire TV box? #shocking,fear
Just got done watching Jeepers Creepers it was epic #horror #horrormoviesarebest #movies #movie #horrorfilm 🎬📽🎬,fear
Why does #terrorism exist in the first place? #AskTrumpOneQuestion,fear
@jpodhoretz I still respect you. I suppose there is so little to be gleeful about these days so take what you can. Good for you.,joy
So drunk me hid my keys very well sober me couldn't find it anywhere,sadness
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser,anger
"Anger that you are willing to take out on people &amp; the world in general, &amp; ALL #police, is WORST, most indefensible kind of .",anger
@MaxiNutrition order 321073 parcel 15502922895987. #awful #customercare by @DPD_UK tried to view calling card online. black image #noshow,fear
Your attitude toward your struggles is equally as important as your actions to work through them. ,joy
Paranoia is a fear every races has,fear
@StrangeFacesLA why doesn't this account follow me ,anger
no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger
@Cernovich It's like the horror movie The Hills Have Eyes...,fear
Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,anger
"My best friend gets married in three days, I have replaced all my anxiety with an eeiry calm and cat cuddles.",fear
Yellow Submarine is under tremendous pressure from Los Blancos. #WaveAfterWave #RMAVIL,fear
@pete_ferriday Aww rest your weary head here,sadness
@rosalarian i hate post con blues! But i avoided the plague too yay!! Yay constant hand sanitizer!!!,sadness
"But what will complaining, pessimism, regret, and anger get you?",sadness
"@shimian lol. DK has actually dropped from top of the table, surprisingly Arms Warrior is top of the DPS at the moment ",fear
"#GBBO is such a homely pure piece of tv gold. Channel 4 will attempt to tart it up. Mary, Sue and Mel gone. It's over. I'm out. 👋 #fuming",anger
"@DevilsAdvcate @ManUtd absolutely boring.M a big Manchester United fan,  nd its really disappointing to see them play in ths dull boring way",sadness
I fear that if United bottle this my heart would actually collapse from laughter.,joy
@WestHamUtd why does the ticket website never work? Trying to buy Palace tickets and it's impossible and says there's an error #awful,fear
I seriously miss #ahsaftershow with @trixiemattel and @TheRealEdHansen. I need to talk about the mamasitas and the hunks of horror.,fear
ICQ is just making me mad!!!😤 #icq ,anger
It is so exhilarating taking on the challenge of demonstrating + explaining WHY #JamesJoyce's #Ulysses is so endearing &amp; wonderful!,joy
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. #nervous,fear
Idk why people be glorifying depression. I wouldn't wish real depression upon my worst enemy. Shits the worst stop acting like it's cool,sadness
Can it be 10 PM so I can sulk in my tub while listening to Lana,sadness
Stupid people piss me off...busted my ass...and my coworker takes off with all the tips...thnx for nothing #angry #thatsmyluck,anger
"But if you wish to live bitter because your guilty conscience made you think it applied to you as well then that's on you, I'm not sorry💁🏻😊",anger
Yeah! Tonight it's time for the #weekend #mix @WildFM with @djkeanu and @RickWaltmann set your #alarm for 8pm #house #deephouse #ibiza,fear
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
Ppl like that irritate my soul,anger
"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; \nZephaniah 3:17 KJV",joy
"@Harry_Styles you're the smile to my face and the beat to my heart. Thanks for being kind as much as you can be. Mind following me?💓 96,127",joy
(whisper) I cannot frown.,sadness
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger
"tesco. why OH why cant my Visa electron be accepted on line , I am 55 , NOT 15 ?? ",fear
Could not be happier!! ,joy
Been sober for days lmao,sadness
@captainzee44 yup. He can celebrate and no he doesn't hesitate,fear
i met with an employment specialist this morning &amp; she basically told me its unlikely i'll get a job because i clearly have too much anxiety,fear
"Don't be offended,\nI'm just doing something that,\nGives your life more hurts.\n\n #haikuchallenge  #poetry",anger
@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,anger
"@almurray hit the sink with a hammer... sorry, the universal modifier!",sadness
is it bad that kurt is literally me..? #glee,joy
@ducktapepr @midnightaction @juliea592 @catherinerusse2 I dread to think... #DirtyPeople,fear
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",fear
Sigh. I got a B- .. #depressing,sadness
Im having a real life conundrum cuz i cant find a good spot for my mini hoop and its really starting to depress me,sadness
"We are about a little over an hour away! We will arrive soon, do not fret!",sadness
@drunkafzayn @vogueszap yes it's shocking how islamophobic Indias are considering how many Muslims live there,fear
